audit_id,event_type,event_timestamp
39001,AUDIT_STARTED,2026-02-15 07:49:27.563072
39002,AUDIT_COMPLETED,2026-02-15 07:29:27.563072
39003,AUDIT_FAILED,2026-02-15 07:09:27.563072
39004,AUDIT_STARTED,2026-02-15 06:49:27.563072
39005,AUDIT_COMPLETED,2026-02-15 06:29:27.563072
39006,AUDIT_FAILED,2026-02-15 06:09:27.563072
39007,AUDIT_STARTED,2026-02-15 05:49:27.563072
39008,AUDIT_COMPLETED,2026-02-15 05:29:27.563072
39009,AUDIT_FAILED,2026-02-15 05:09:27.563072
39010,AUDIT_STARTED,2026-02-15 04:49:27.563072
