POL_ID,COV_CD,COV_DESC,LIM_AMT,DED_AMT,PREM_AMT
P9000101,DWELL,DWELLING FIRE,350000,1000,0900.00
P9000101,PERS,PERSONAL PROP,150000,0500,0300.00
P9000102,LIAB,BODILY INJURY,100000,0000,0300.00
P9000102,COLL,COLLISION,025000,0500,0200.00
P9000102,COMP,COMPREHENSIVE,025000,0250,0150.00
P9000103,TERM,TERM LIFE,500000,0000,0150.00
P9000106,CONT,CONTENTS,050000,0250,0150.00
P9000106,LIAB,PERS LIABILITY,100000,0000,0050.00
P9000107,LIAB,BODILY INJURY,300000,0000,0600.00
P9000107,COLL,COLLISION,050000,1000,0300.00
P9000107,UNIN,UNINSURED MOT,100000,0000,0200.00
P9000108,PROP,COMM PROPERTY,1000000,5000,3000.00
P9000108,GL,GEN LIABILITY,2000000,0000,2000.00
P9000110,LIAB,BODILY INJURY,050000,0000,0400.00
P9000110,COLL,COLLISION,020000,0500,0200.00
P9000112,LIAB,BODILY INJURY,025000,0000,1000.00
P9000112,COLL,COLLISION,040000,2000,0800.00
P9000112,COMP,COMPREHENSIVE,040000,1000,0400.00
P9000117,WC,WORKERS COMP,000000,0000,2500.00
