project_id,project_name,department_id,start_date,end_date
1,Onboarding System,1,2026-01-05,2026-03-05
2,Payroll Upgrade,2,2026-01-10,2026-04-10
3,Network Security,3,2026-01-15,2026-05-15
4,Ad Campaign,4,2026-02-01,2026-04-01
5,Sales Portal,5,2026-02-05,2026-05-05
6,Legal Audit,6,2026-02-10,2026-06-10
7,Warehouse Optimization,7,2026-02-15,2026-05-15
8,Customer Feedback App,8,2026-02-20,2026-06-20
9,Supplier System,9,2026-03-01,2026-06-01
10,Data Analytics Tool,10,2026-03-05,2026-07-05
11,Training Portal,11,2026-03-10,2026-06-10
12,Website Redesign,12,2026-03-15,2026-06-15
13,Logistics Dashboard,13,2026-03-20,2026-06-20
14,Support Ticketing,14,2026-03-25,2026-06-25
15,Cybersecurity Audit,15,2026-04-01,2026-07-01
16,R&D Analysis,16,2026-04-05,2026-07-05
17,PR Campaign,17,2026-04-10,2026-07-10
18,Admin System,18,2026-04-15,2026-07-15
19,Quality Check,19,2026-04-20,2026-07-20
20,Compliance Review,20,2026-04-25,2026-07-25
