event_id,order_id,customer_id,event_name,event_timestamp
E1,O1001,C001,Order Created,2025-01-10 10:15:30
E2,O1001,C001,Payment Done,2025-01-10 10:17:05
E3,O1001,C001,Order Packed,2025-01-10 11:00:00
E4,O1001,C001,Order Shipped,2025-01-10 14:30:00
E5,O1001,C001,Order Delivered,2025-01-11 10:00:00

E6,O1002,C001,Order Created,2025-01-12 09:20:10
E7,O1002,C001,Payment Done,2025-01-12 09:21:40
E8,O1002,C001,Order Packed,2025-01-12 10:10:00
E9,O1002,C001,Order Shipped,2025-01-12 15:00:00
E10,O1002,C001,Order Delivered,2025-01-13 11:30:00

E11,O1003,C002,Order Created,2025-01-10 11:05:20
E12,O1003,C002,Payment Done,2025-01-10 11:07:00
E13,O1003,C002,Order Delivered,2025-01-10 18:00:00

E14,O1004,C003,Order Created,2025-01-11 09:30:45
E15,O1004,C003,Payment Failed,2025-01-11 09:32:00
E16,O1004,C003,Order Cancelled,2025-01-11 09:40:00
