payroll_id,employee_id,pay_period_start,pay_period_end,base_salary,bonus,deductions,net_salary,payment_date,payment_status,created_at,updated_at
7001,1001,2024-01-01,2024-01-31,75000,2000,8500,68500,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7002,1002,2024-01-01,2024-01-31,82000,1500,9200,74300,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7003,1003,2024-01-01,2024-01-31,68000,1000,7800,61200,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7004,1004,2024-01-01,2024-01-31,71000,1200,8100,64100,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7005,1005,2024-01-01,2024-01-31,79000,1800,8900,72000,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7006,1006,2024-01-01,2024-01-31,85000,2500,9500,78000,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7007,1007,2024-01-01,2024-01-31,72000,1100,8200,64900,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7008,1008,2024-01-01,2024-01-31,88000,3000,10000,81000,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7009,1009,2024-01-01,2024-01-31,69000,900,7900,62000,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7010,1010,2024-01-01,2024-01-31,76000,1400,8600,68800,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7011,1011,2024-01-01,2024-01-31,83000,2200,9300,75900,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7012,1012,2024-01-01,2024-01-31,67000,800,7700,60100,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7013,1013,2024-01-01,2024-01-31,91000,3500,10500,84000,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7014,1014,2024-01-01,2024-01-31,80000,1600,9000,72600,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
7015,1015,2024-01-01,2024-01-31,73000,1000,8300,65700,2024-02-05,Paid,2024-01-31 23:59:59,2024-02-05 10:00:00
