customer_id,age,monthly_income,credit_score,years_with_company,purchase_amount,risk_label
C001,22,18000,520,1,1200,High
C002,35,45000,710,8,5400,Low
C003,29,32000,640,4,2300,Medium
C004,41,60000,780,12,8900,Low
C005,24,20000,550,2,1500,High
C006,37,48000,720,7,6100,Low
C007,31,35000,660,5,3000,Medium
C008,45,70000,810,15,12000,Low
C009,27,25000,590,3,1800,High
C010,39,52000,740,9,6700,Low
C011,34,42000,700,6,4900,Medium
C012,23,17000,510,1,900,High
C013,48,75000,830,18,13500,Low
C014,28,30000,630,4,2600,Medium
C015,36,47000,715,7,5800,Low
C016,26,24000,580,2,1600,High
C017,42,65000,790,13,9800,Low
C018,33,40000,690,6,4200,Medium
C019,30,34000,655,5,3100,Medium
C020,25,22000,560,2,1400,High
C021,46,72000,820,16,12500,Low
C022,38,50000,730,8,6300,Low
C023,29,31000,645,4,2700,Medium
C024,21,16000,500,1,800,High
C025,44,68000,800,14,11000,Low
C026,32,36000,670,5,3400,Medium
C027,27,26000,600,3,2000,High
C028,40,56000,750,10,7600,Low
C029,35,43000,705,7,5200,Medium
C030,24,21000,555,2,1300,High
C031,47,74000,825,17,13200,Low
C032,28,29000,620,4,2500,Medium
C033,34,41000,695,6,4600,Medium
C034,22,19000,530,1,1100,High
C035,43,66000,795,13,9900,Low
C036,31,37000,675,5,3600,Medium
C037,26,23000,575,2,1700,High
C038,39,54000,745,9,6900,Low
C039,45,71000,815,15,11800,Low
C040,29,33000,650,4,2900,Medium
C041,23,17500,515,1,950,High
C042,41,62000,785,12,9100,Low
C043,36,48000,725,7,6000,Low
C044,27,27000,605,3,2100,High
C045,33,39000,685,6,4100,Medium
C046,24,20500,550,2,1450,High
C047,46,73000,820,16,12700,Low
C048,38,51000,735,8,6500,Low
C049,30,34500,660,5,3200,Medium
C050,21,15500,495,1,750,
