ticket_id,policy_id,event_type,event_timestamp
14001,6001,QUERY_RAISED,2026-02-15 07:19:58.408708
14002,6002,QUERY_RESOLVED,2026-02-15 07:12:58.408708
14003,6003,COMPLAINT_RAISED,2026-02-15 07:05:58.408708
14004,6004,COMPLAINT_RESOLVED,2026-02-15 06:58:58.408708
14005,6005,QUERY_RAISED,2026-02-15 06:51:58.408708
14006,6006,QUERY_RESOLVED,2026-02-15 06:44:58.408708
14007,6007,COMPLAINT_RAISED,2026-02-15 06:37:58.408708
14008,6008,COMPLAINT_RESOLVED,2026-02-15 06:30:58.408708
14009,6009,QUERY_RAISED,2026-02-15 06:23:58.408708
14010,6010,QUERY_RESOLVED,2026-02-15 06:16:58.408708
