txn_id,account_id,customer_id,beneficiary_id,branch_id,txn_type,txn_mode,txn_channel,amount_inr,currency,balance_before,balance_after,reference_number,utr_number,description,txn_status,failure_reason,initiated_at,processed_at,settled_at,reversed_at,created_at
TXN00000001,ACC000001,CUST00001,BEN000001,BR0001,Credit,Offline,Mobile Banking,482363.91,INR,108990.65,591354.56,REF317819329568,UTR748866464070,Credit — CUST00001 → BEN000001,Processing,,2026-02-03 13:00:36,2026-02-03 13:01:36,2026-02-04 08:01:36,,2026-02-03 13:00:36
TXN00000002,ACC000002,CUST00002,BEN000002,BR0002,Debit,Online,Internet Banking,345338.15,INR,627615.15,282277.0,REF961424120992,UTR478133512638,Debit — CUST00002 → BEN000002,Declined,,2025-12-26 13:00:36,2025-12-26 13:01:21,2025-12-27 08:01:21,,2025-12-26 13:00:36
TXN00000003,ACC000003,CUST00003,BEN000003,BR0003,Transfer,Online,Branch,266419.35,INR,661859.82,928279.17,REF563210400205,UTR640402796396,Transfer — CUST00003 → BEN000003,Pending,,2026-01-12 13:00:36,2026-01-12 13:01:09,2026-01-14 06:01:09,,2026-01-12 13:00:36
TXN00000004,ACC000004,CUST00004,BEN000004,BR0004,NEFT,Online,ATM,52858.88,INR,960826.78,907967.9,REF295143931370,UTR674382277186,NEFT — CUST00004 → BEN000004,Timeout,,2025-03-28 13:00:36,2025-03-28 13:01:34,2025-03-29 18:01:34,,2025-03-28 13:00:36
TXN00000005,ACC000005,CUST00005,BEN000005,BR0005,RTGS,Offline,POS Terminal,482740.32,INR,270812.31,753552.63,REF198503450940,UTR368224152205,RTGS — CUST00005 → BEN000005,Reversed,,2025-05-17 13:00:36,2025-05-17 13:01:26,2025-05-18 19:01:26,2025-05-21 03:01:26,2025-05-17 13:00:36
TXN00000006,ACC000006,CUST00006,BEN000006,BR0006,IMPS,Offline,UPI App,375263.09,INR,570279.8,195016.71,REF460137100173,UTR633356940935,IMPS — CUST00006 → BEN000006,Success,,2025-03-11 13:00:36,2025-03-11 13:01:01,2025-03-12 10:01:01,,2025-03-11 13:00:36
TXN00000007,ACC000007,CUST00007,BEN000007,BR0007,UPI,Offline,USSD,106138.71,INR,798034.52,904173.23,REF110977038883,UTR191014894322,UPI — CUST00007 → BEN000007,Timeout,,2025-08-26 13:00:36,2025-08-26 13:00:54,2025-08-28 03:00:54,,2025-08-26 13:00:36
TXN00000008,ACC000008,CUST00008,BEN000008,BR0008,ATM Withdrawal,Offline,Phone Banking,120753.89,INR,407021.7,286267.81,REF884458179683,UTR591734333317,ATM Withdrawal — CUST00008 → BEN000008,Timeout,,2025-05-08 13:00:36,2025-05-08 13:01:25,2025-05-09 04:01:25,,2025-05-08 13:00:36
TXN00000009,ACC000009,CUST00009,BEN000009,BR0009,POS,Offline,API,396487.14,INR,93960.3,490447.44,REF738506846386,UTR621275973591,POS — CUST00009 → BEN000009,Failed,,2025-10-26 13:00:36,2025-10-26 13:01:02,2025-10-28 09:01:02,,2025-10-26 13:00:36
TXN00000010,ACC000010,CUST00010,BEN000010,BR0010,Bill Payment,Offline,Bulk Upload,212809.36,INR,746189.5,533380.14,REF354482841033,UTR890792195524,Bill Payment — CUST00010 → BEN000010,Reversed,,2025-08-31 13:00:36,2025-08-31 13:00:59,2025-09-02 09:00:59,2025-09-03 20:00:59,2025-08-31 13:00:36
