customer_id,customer_name,login_timestamp
custom_305ac398e7,Divya,2026-01-29 18:30:00
custom_ce97fcab31,Ravi,2026-01-30 03:42:07
custom_37960f75ec,Arun,2026-02-01 18:07:19
custom_3efd001037,Arun,2026-01-31 05:36:41
custom_e111120366,Divya,2026-01-28 14:25:06
custom_3f87b0d008,Ravi,2026-02-01 08:18:32
custom_5ee8b9a2c8,Ravi,2026-01-31 16:41:14
custom_5ca8cf5106,Arun,2026-02-01 21:20:19
custom_dadd18d50e,Ravi,2026-01-29 02:26:26
custom_49b1e9fc64,Divya,2026-01-28 15:36:48
custom_027f71f9e8,Kumar,2026-01-30 21:20:17
custom_aea3873865,Ravi,2026-01-31 21:58:06
custom_ff5f4fd1d4,Divya,2026-01-28 18:36:36
custom_ea5769fae8,Arun,2026-01-30 04:36:06
custom_c6f67711f3,Divya,2026-01-28 19:10:37
custom_18e272d633,Kumar,2026-01-30 15:07:47
custom_a30c666b99,Divya,2026-01-30 17:06:04
custom_1f01348646,Ravi,2026-02-01 11:26:47
custom_fb9d115b8f,Meena,2026-01-31 03:23:36
custom_3464c34d3a,Ravi,2026-02-01 22:53:30
