leave_id,employee_id,leave_start,leave_end,leave_type,status
1,1,2026-03-01,2026-03-05,Sick,Approved
2,2,2026-03-02,2026-03-06,Vacation,Pending
3,3,2026-03-03,2026-03-07,Personal,Approved
4,4,2026-03-04,2026-03-08,Sick,Rejected
5,5,2026-03-05,2026-03-09,Vacation,Approved
6,6,2026-03-06,2026-03-10,Sick,Approved
7,7,2026-03-07,2026-03-11,Personal,Pending
8,8,2026-03-08,2026-03-12,Vacation,Approved
9,9,2026-03-09,2026-03-13,Sick,Rejected
10,10,2026-03-10,2026-03-14,Vacation,Approved
11,11,2026-03-11,2026-03-15,Sick,Approved
12,12,2026-03-12,2026-03-16,Personal,Pending
13,13,2026-03-13,2026-03-17,Vacation,Approved
14,14,2026-03-14,2026-03-18,Sick,Approved
15,15,2026-03-15,2026-03-19,Vacation,Rejected
16,16,2026-03-16,2026-03-20,Sick,Approved
17,17,2026-03-17,2026-03-21,Personal,Approved
18,18,2026-03-18,2026-03-22,Vacation,Pending
19,19,2026-03-19,2026-03-23,Sick,Approved
20,20,2026-03-20,2026-03-24,Vacation,Approved
