Case_ID,Activity,Timestamp,System_ID,Error_Code,Status
CASE-8131,Update,2023-07-22 17:58:21,25917,E200,Error
CASE-3439,System Check,2023-11-06 02:15:17,11274,E500,Error
CASE-2553,System Check,2023-11-18 08:59:15,13887,E500,Error
CASE-9673,System Check,2023-04-29 19:08:23,58598,E500,Error
CASE-2124,Log Error,2023-03-26 07:40:23,78915,E200,Error
CASE-4816,Maintenance,2023-04-30 03:06:50,80211,E500,Idle
CASE-7316,System Check,2023-01-22 14:45:13,67074,E200,Idle
CASE-2629,Log Error,2023-11-27 22:24:40,61156,E404,Error
CASE-1151,Update,2023-03-25 17:45:38,43648,E200,Idle
CASE-1668,Log Error,2023-08-01 06:00:35,84938,E500,Error
CASE-1254,Maintenance,2023-07-10 04:11:02,43471,E500,Error
CASE-1592,System Check,2023-08-20 11:58:08,51374,E200,Error
CASE-7838,Restart Service,2023-08-19 10:32:25,32824,E200,Active
CASE-1664,Log Error,2023-02-21 15:21:15,47597,E404,Active
CASE-1414,Restart Service,2023-07-27 23:08:57,97421,E404,Idle
CASE-8417,Maintenance,2023-12-11 07:18:28,80468,E404,Idle
CASE-9940,Maintenance,2023-01-28 09:18:08,76602,E200,Active
CASE-2954,System Check,2023-12-11 15:00:08,92720,E404,Active
CASE-8028,System Check,2023-12-27 19:10:04,84019,E200,Error
CASE-4491,Update,2023-10-09 17:51:30,53850,E404,Active
CASE-6550,Restart Service,2023-11-11 21:49:39,70392,E500,Active
CASE-4214,Maintenance,2023-11-22 03:08:32,54375,E200,Active
CASE-2667,Log Error,2023-04-01 21:50:19,18238,E500,Active
CASE-9979,Update,2023-03-02 06:17:18,78107,E500,Idle
CASE-7101,Maintenance,2023-01-07 10:10:08,35725,E200,Error
CASE-5975,Maintenance,2023-09-18 09:40:58,98948,E500,Active
CASE-9905,Maintenance,2023-12-24 19:40:16,13983,E200,Idle
CASE-9459,Update,2023-02-22 07:04:34,64418,E500,Idle
CASE-3650,Log Error,2023-02-25 16:50:01,90810,E404,Active
CASE-5224,Restart Service,2023-11-11 20:43:10,87634,E404,Idle
CASE-5972,Log Error,2023-09-15 13:47:31,38202,E404,Idle
CASE-2380,Maintenance,2023-05-11 08:32:12,16746,E200,Active
CASE-2148,Log Error,2023-06-09 21:41:01,70168,E404,Active
CASE-7301,System Check,2023-08-18 20:14:31,64423,E500,Active
CASE-7043,System Check,2023-01-24 17:43:19,11895,E500,Active
CASE-9493,Log Error,2023-02-16 18:43:33,47092,E200,Idle
CASE-5776,Update,2023-09-14 10:40:15,46148,E200,Idle
CASE-8138,System Check,2023-07-17 18:53:38,53603,E404,Error
CASE-2449,Update,2023-01-20 22:10:08,18801,E500,Error
CASE-3290,Restart Service,2023-01-24 13:56:51,92615,E500,Idle
CASE-9958,Update,2023-07-16 10:00:18,23739,E500,Active
CASE-5427,Maintenance,2023-03-14 21:32:33,80024,E500,Error
CASE-8831,System Check,2023-07-11 04:41:59,96100,E404,Idle
CASE-5191,Log Error,2023-01-10 14:34:21,75905,E200,Active
CASE-9507,Maintenance,2023-06-09 13:03:11,88904,E500,Active
CASE-8066,Restart Service,2023-02-23 05:40:46,56021,E404,Idle
CASE-2425,System Check,2023-01-06 22:53:51,65090,E200,Idle
CASE-8888,Log Error,2023-07-10 08:04:26,10336,E404,Active
CASE-6480,Maintenance,2023-11-22 15:17:33,30364,E500,Idle
CASE-6920,Log Error,2023-08-21 03:15:28,94457,E500,Active
CASE-8714,Restart Service,2023-08-13 12:49:05,32319,E200,Idle
CASE-5770,Update,2023-08-04 16:35:26,86535,E200,Error
CASE-4318,Log Error,2023-08-23 03:13:16,83839,E404,Error
CASE-1918,System Check,2023-08-28 11:34:43,81470,E500,Idle
CASE-7688,System Check,2023-06-07 23:45:36,96005,E404,Error
CASE-6996,Log Error,2023-03-31 02:47:45,69619,E500,Error
CASE-9065,Log Error,2023-01-10 08:14:04,50776,E404,Active
CASE-7913,Maintenance,2023-11-18 00:07:55,31337,E404,Idle
CASE-1071,Maintenance,2023-07-12 03:27:57,18153,E200,Idle
CASE-9957,Maintenance,2023-10-27 08:01:36,71172,E200,Active
CASE-5044,Log Error,2023-08-12 13:03:58,14752,E404,Error
CASE-5011,System Check,2023-01-14 00:37:41,83487,E500,Error
CASE-8323,System Check,2023-02-04 22:57:12,50262,E500,Active
CASE-3184,System Check,2023-03-12 05:32:46,53194,E404,Idle
CASE-8321,Maintenance,2023-03-11 07:33:33,75258,E200,Error
CASE-3317,Update,2023-06-27 11:40:25,75162,E404,Idle
CASE-7674,System Check,2023-02-02 08:08:45,29171,E200,Error
CASE-5265,System Check,2023-03-23 17:29:19,59300,E404,Idle
CASE-2694,System Check,2023-08-14 16:01:29,37175,E404,Error
CASE-5215,System Check,2023-12-09 02:18:36,52747,E200,Idle
CASE-7738,Update,2023-06-13 18:34:01,62368,E200,Active
CASE-7804,Maintenance,2023-11-21 21:40:03,12384,E404,Active
CASE-7213,Log Error,2023-10-23 09:03:30,36824,E500,Error
CASE-8103,Update,2023-05-14 13:49:20,82201,E200,Error
CASE-9200,System Check,2023-02-16 05:47:56,13744,E404,Idle
CASE-4348,Maintenance,2023-11-11 06:14:06,85392,E500,Idle
CASE-3924,Log Error,2023-10-07 17:43:01,36969,E500,Active
CASE-3850,Update,2023-03-15 21:10:56,83675,E404,Active
CASE-3794,Restart Service,2023-05-20 01:27:08,38700,E200,Active
CASE-3250,Maintenance,2023-01-18 08:10:59,17565,E200,Idle
CASE-5044,Restart Service,2023-11-11 14:10:19,13574,E200,Error
CASE-4874,System Check,2023-07-22 05:52:44,43862,E500,Active
CASE-5246,Update,2023-06-01 15:26:22,44617,E200,Idle
CASE-8630,Log Error,2023-09-29 10:27:32,32905,E200,Active
CASE-3707,Maintenance,2023-05-19 01:18:14,92962,E200,Active
CASE-5870,Maintenance,2023-10-19 23:36:48,43076,E200,Idle
CASE-8879,Maintenance,2023-12-06 11:30:34,98941,E200,Error
CASE-6431,Maintenance,2023-08-20 21:42:12,48932,E200,Active
CASE-5679,Log Error,2023-07-28 07:56:05,62917,E500,Error
CASE-5703,Update,2023-05-07 00:37:57,71075,E500,Error
CASE-6510,Update,2023-10-12 13:42:54,39357,E200,Active
CASE-7039,Update,2023-03-11 14:51:02,27698,E500,Idle
CASE-8609,Log Error,2023-12-03 06:41:32,29430,E500,Error
CASE-1314,Update,2023-02-05 05:32:02,78233,E200,Idle
CASE-1032,Update,2023-07-25 02:39:08,37505,E500,Active
CASE-7164,Update,2023-09-28 02:36:03,78059,E404,Idle
CASE-5262,Maintenance,2023-12-27 18:26:01,42109,E200,Idle
CASE-2965,Update,2023-03-27 06:48:19,19033,E500,Active
CASE-4681,System Check,2023-12-04 19:55:05,16343,E404,Error
