Case_ID,Activity,Timestamp,System_ID,Error_Code,Status
CASE-8267,Restart Service,2023-12-10 13:25:52,64407,E404,Error
CASE-1181,Log Error,2023-02-16 01:53:00,50669,E200,Active
CASE-4299,Update,2023-08-30 04:42:01,69461,E500,Active
CASE-3573,Maintenance,2023-03-08 09:49:10,40899,E404,Active
CASE-6700,Restart Service,2023-10-14 14:00:25,99610,E404,Idle
CASE-8208,Restart Service,2023-04-30 07:45:22,82778,E200,Error
CASE-2621,Update,2023-11-03 03:16:54,88293,E200,Active
CASE-5762,Maintenance,2023-11-24 14:39:45,75395,E200,Active
CASE-6158,System Check,2023-10-19 07:04:57,87485,E500,Active
CASE-5701,Update,2023-04-01 11:24:12,31701,E404,Idle
CASE-9286,Update,2023-09-02 19:53:11,70484,E500,Error
CASE-6017,Restart Service,2023-01-20 11:10:35,45393,E404,Error
CASE-3964,Maintenance,2023-09-14 22:12:59,79551,E404,Error
CASE-8677,System Check,2023-09-30 10:34:14,94681,E500,Idle
CASE-6529,Update,2023-12-06 23:34:37,16641,E500,Active
CASE-7819,System Check,2023-03-02 20:18:47,77849,E404,Error
CASE-5544,Maintenance,2023-10-11 15:35:32,26650,E404,Active
CASE-5770,System Check,2023-07-27 11:32:01,93042,E500,Idle
CASE-9783,Update,2023-07-27 19:48:50,13253,E500,Active
CASE-1889,Log Error,2023-06-19 04:34:11,22345,E200,Active
CASE-6030,Maintenance,2023-06-08 12:41:17,44121,E200,Error
CASE-5873,System Check,2023-08-23 07:03:37,71598,E200,Active
CASE-2912,Update,2023-01-25 18:51:41,85085,E404,Error
CASE-8611,System Check,2023-11-01 16:13:06,34240,E404,Active
CASE-8017,Update,2023-07-01 01:27:34,31863,E500,Active
CASE-2495,Restart Service,2023-03-18 08:49:41,53092,E404,Idle
CASE-7212,System Check,2023-07-19 23:11:39,53047,E500,Idle
CASE-8091,System Check,2023-03-02 09:26:40,93678,E500,Error
CASE-4298,Maintenance,2023-04-07 12:56:18,70472,E500,Active
CASE-1630,System Check,2023-03-23 15:09:47,29604,E500,Active
CASE-8653,Update,2023-10-19 14:25:20,14369,E500,Active
CASE-3229,Update,2023-11-13 17:01:50,79038,E404,Idle
CASE-6109,Maintenance,2023-10-01 02:09:03,83146,E404,Active
CASE-8691,Restart Service,2023-04-24 15:23:32,39502,E200,Idle
CASE-2071,Maintenance,2023-09-24 17:47:59,47682,E404,Idle
CASE-3461,System Check,2023-10-14 13:25:06,20817,E500,Error
CASE-2100,Restart Service,2023-01-31 05:15:33,85686,E200,Error
CASE-2740,Restart Service,2023-08-04 05:46:03,88864,E500,Active
CASE-1891,Restart Service,2023-07-24 17:27:35,64226,E404,Active
CASE-4535,System Check,2023-03-19 11:59:31,86690,E404,Active
CASE-7965,Restart Service,2023-03-25 08:24:42,20660,E404,Error
CASE-5313,System Check,2023-03-01 01:16:35,36958,E200,Active
CASE-4426,Maintenance,2023-06-11 05:46:19,96009,E500,Active
CASE-9408,Update,2023-04-29 03:34:01,76859,E200,Active
CASE-4596,System Check,2023-05-24 07:33:48,37627,E404,Error
CASE-8266,System Check,2023-09-23 08:46:47,86438,E500,Idle
CASE-5196,Maintenance,2023-03-26 02:30:27,25865,E404,Active
CASE-6850,Update,2023-07-14 05:28:45,89657,E404,Active
CASE-1168,Maintenance,2023-12-07 09:59:34,35055,E200,Active
CASE-5898,Log Error,2023-10-09 13:27:12,98956,E500,Error
CASE-8717,Restart Service,2023-07-09 03:42:02,70643,E500,Idle
CASE-4262,Restart Service,2023-05-05 05:07:36,82565,E500,Error
CASE-1240,Maintenance,2023-05-28 00:21:33,42099,E200,Error
CASE-6632,Maintenance,2023-08-20 17:14:46,62903,E404,Error
CASE-5214,Restart Service,2023-01-19 15:40:33,58495,E404,Error
CASE-8456,Restart Service,2023-11-12 15:07:27,31943,E200,Idle
CASE-5992,System Check,2023-09-04 21:05:07,31699,E200,Active
CASE-2701,Maintenance,2023-03-12 02:31:50,67588,E500,Active
CASE-6094,System Check,2023-04-27 09:23:46,31124,E404,Active
CASE-5423,Update,2023-11-10 08:15:34,63652,E200,Idle
CASE-4575,System Check,2023-08-07 04:40:00,87356,E200,Active
CASE-9952,Update,2023-01-08 22:59:27,98698,E200,Error
CASE-8330,Restart Service,2023-03-23 12:26:42,78159,E500,Active
CASE-7434,Log Error,2023-08-24 05:30:44,10232,E404,Active
CASE-6428,Maintenance,2023-06-06 00:29:24,39468,E404,Error
CASE-4285,System Check,2023-10-13 20:09:00,78595,E500,Idle
CASE-4577,Update,2023-10-26 08:45:08,45114,E200,Active
CASE-2753,Update,2023-12-16 07:20:03,45876,E404,Active
CASE-3422,Log Error,2023-02-28 01:26:07,80590,E404,Active
CASE-4931,Maintenance,2023-03-18 18:50:14,33119,E500,Error
CASE-8992,System Check,2023-02-11 00:18:50,85030,E404,Active
CASE-5051,System Check,2023-02-07 04:52:47,12141,E200,Error
CASE-7093,Update,2023-05-28 09:58:57,64938,E500,Error
