Case_ID,Activity,Timestamp,System_ID,Error_Code,Status
CASE-6584,Restart Service,2023-04-17 04:16:43,46640,E404,Idle
CASE-6146,Update,2023-07-07 18:13:41,59344,E500,Error
CASE-6370,Restart Service,2023-08-04 22:19:15,57176,E200,Error
CASE-2209,System Check,2023-12-27 08:43:43,91302,E200,Active
CASE-5460,Maintenance,2023-07-14 11:36:14,46983,E200,Active
CASE-2705,Restart Service,2023-08-20 11:34:00,36372,E200,Idle
CASE-9783,Maintenance,2023-03-19 21:05:48,51630,E200,Idle
CASE-6858,Update,2023-05-02 12:31:15,11055,E200,Idle
CASE-5959,Restart Service,2023-06-23 14:06:10,25859,E200,Error
CASE-3283,System Check,2023-05-15 18:12:53,99006,E200,Idle
CASE-1941,System Check,2023-10-26 09:09:18,82703,E404,Idle
CASE-7591,System Check,2023-05-06 11:24:37,32396,E500,Error
CASE-3450,System Check,2023-07-12 06:20:54,98731,E200,Active
CASE-4476,System Check,2023-02-20 17:05:09,29334,E404,Error
CASE-9201,Restart Service,2023-03-03 00:35:25,98560,E500,Error
CASE-7809,Update,2023-12-05 04:48:52,98115,E404,Idle
CASE-2346,Log Error,2023-03-06 21:14:39,26555,E404,Error
CASE-9312,Log Error,2023-12-17 18:03:20,83380,E200,Active
CASE-1133,Restart Service,2023-01-26 07:22:42,31822,E500,Error
CASE-5296,Restart Service,2023-06-29 12:57:44,42578,E404,Active
CASE-3622,Log Error,2023-06-14 13:05:38,21097,E200,Active
CASE-5625,Update,2023-01-10 12:19:33,48348,E200,Error
CASE-6674,Maintenance,2023-04-01 04:35:11,17438,E500,Active
CASE-6444,Update,2023-06-30 11:19:10,61048,E200,Active
CASE-9678,Maintenance,2023-02-04 15:11:38,48709,E404,Error
CASE-2203,Maintenance,2023-12-28 03:28:08,30493,E200,Error
CASE-6625,Restart Service,2023-04-15 10:43:38,29215,E500,Idle
CASE-3149,System Check,2023-05-22 05:30:57,26815,E500,Idle
CASE-4270,Maintenance,2023-06-07 07:00:26,50890,E200,Active
CASE-4222,Update,2023-03-02 11:40:44,78618,E200,Active
CASE-9346,Log Error,2023-09-01 14:40:09,36051,E404,Idle
CASE-8071,Restart Service,2023-06-07 01:38:22,26637,E200,Idle
CASE-4866,Restart Service,2023-07-31 16:05:42,43715,E500,Error
CASE-9478,System Check,2023-07-16 09:21:43,55265,E404,Error
CASE-3235,System Check,2023-11-14 13:36:19,62460,E500,Active
CASE-1727,Maintenance,2023-05-01 22:57:04,33952,E404,Active
CASE-6341,System Check,2023-05-19 16:00:18,24668,E200,Idle
CASE-9661,Restart Service,2023-12-04 14:38:53,82858,E404,Error
CASE-3737,Restart Service,2023-01-02 03:02:51,66156,E500,Idle
CASE-3739,Log Error,2023-03-29 03:38:49,39671,E404,Active
CASE-1202,Maintenance,2023-02-01 05:53:20,34667,E200,Active
CASE-6245,Log Error,2023-11-21 12:53:32,50652,E200,Idle
CASE-8175,Restart Service,2023-07-08 11:28:31,65399,E200,Idle
CASE-9375,Update,2023-04-12 23:10:48,14750,E500,Active
CASE-7138,Maintenance,2023-05-24 23:02:57,76497,E500,Idle
CASE-3559,Maintenance,2023-03-13 21:32:19,69527,E404,Error
CASE-1820,Log Error,2023-05-06 18:10:28,23485,E404,Idle
CASE-1892,Maintenance,2023-04-14 17:55:45,22643,E200,Error
CASE-5872,Restart Service,2023-06-02 00:37:46,26837,E500,Active
CASE-2956,Update,2023-04-18 17:42:30,73740,E500,Idle
CASE-9870,Maintenance,2023-04-08 08:10:54,28923,E500,Error
CASE-1160,System Check,2023-01-04 14:32:33,32819,E404,Active
CASE-2336,Update,2023-03-07 19:29:18,70185,E500,Idle
CASE-9374,System Check,2023-03-23 10:00:14,12051,E200,Active
CASE-8402,Maintenance,2023-04-11 11:35:47,41532,E500,Active
CASE-5376,Restart Service,2023-06-14 18:10:46,42194,E404,Error
CASE-3251,Log Error,2023-03-26 18:04:21,41775,E404,Idle
CASE-3476,Log Error,2023-07-07 09:00:57,96191,E200,Active
CASE-1434,Restart Service,2023-12-10 14:31:56,95063,E404,Error
CASE-8958,Log Error,2023-10-22 13:56:19,34572,E404,Idle
CASE-8622,Maintenance,2023-06-25 09:25:04,39054,E404,Active
CASE-6711,Log Error,2023-10-16 02:54:11,53007,E200,Active
CASE-6697,Log Error,2023-11-16 05:46:45,65469,E200,Active
CASE-9533,Restart Service,2023-07-03 18:30:04,56533,E200,Error
CASE-8346,Update,2023-01-10 05:25:11,69099,E200,Error
CASE-3548,Restart Service,2023-10-31 13:10:34,42484,E200,Error
CASE-3828,Update,2023-04-24 04:46:31,11453,E404,Idle
CASE-7763,Log Error,2023-09-09 04:24:13,36338,E404,Active
CASE-1396,System Check,2023-12-30 05:25:34,47882,E500,Idle
CASE-2234,Restart Service,2023-02-09 03:11:54,28139,E200,Error
CASE-2735,System Check,2023-10-12 11:18:20,55025,E500,Error
CASE-5372,Maintenance,2023-10-02 01:26:27,85196,E200,Active
CASE-6473,Restart Service,2023-11-22 22:03:28,74491,E200,Idle
CASE-8233,Update,2023-04-07 20:05:26,44509,E500,Idle
CASE-5302,Log Error,2023-10-25 23:27:31,59261,E500,Active
CASE-8154,Log Error,2023-08-18 07:06:56,47722,E200,Active
CASE-1813,Update,2023-01-12 09:08:58,80807,E500,Active
CASE-8038,Restart Service,2023-06-08 21:06:54,40873,E404,Error
CASE-2507,System Check,2023-10-19 13:55:06,98347,E404,Active
CASE-5901,Log Error,2023-06-12 22:22:20,14040,E200,Idle
CASE-7405,Update,2023-12-26 11:37:55,83173,E404,Idle
CASE-8111,System Check,2023-08-29 08:53:01,48642,E404,Idle
CASE-3721,Log Error,2023-12-21 04:24:43,89851,E500,Active
CASE-8844,Restart Service,2023-02-03 14:01:40,14870,E200,Error
CASE-5950,Update,2023-07-22 17:36:08,63743,E500,Error
CASE-3897,System Check,2023-06-16 17:36:38,76361,E500,Idle
CASE-7819,Maintenance,2023-08-30 09:14:17,29133,E200,Active
CASE-8424,System Check,2023-10-26 02:31:31,26562,E404,Idle
CASE-6213,System Check,2023-04-12 06:37:41,75610,E404,Error
CASE-5770,Maintenance,2023-11-21 16:43:21,74256,E404,Active
