Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-3023,View Statement,2023-02-22 14:09:42,38163,3021.3,Credit
CASE-3004,Apply Loan,2023-12-11 02:17:45,33801,861.49,Credit
CASE-5400,Check Balance,2023-09-18 16:45:49,82782,244.06,Credit
CASE-2330,Check Balance,2023-12-05 19:46:38,55285,2021.3,Checking
CASE-7357,Pay Bill,2023-10-25 00:54:33,40387,82.03,Savings
CASE-3736,Apply Loan,2023-12-10 10:35:06,42805,513.61,Savings
CASE-1796,View Statement,2023-09-15 01:28:15,19341,4863.96,Checking
CASE-6653,Check Balance,2023-12-02 11:27:40,95666,1483.07,Checking
CASE-6524,Login,2023-03-14 06:31:32,87533,4993.0,Savings
CASE-6521,Transfer Funds,2023-09-12 01:49:47,33139,1656.85,Savings
CASE-9582,View Statement,2023-05-27 06:34:54,41001,2549.27,Checking
CASE-8752,Logout,2023-09-08 03:04:23,76976,1872.7,Savings
CASE-5393,Pay Bill,2023-10-05 15:10:56,29074,3406.11,Savings
CASE-9922,Pay Bill,2023-07-29 14:25:15,38530,625.47,Checking
CASE-2534,Check Balance,2023-10-28 02:44:32,54977,3955.52,Checking
CASE-9652,Transfer Funds,2023-11-04 09:59:57,94947,861.77,Checking
CASE-8700,Pay Bill,2023-07-05 15:37:55,50471,4897.49,Checking
CASE-2634,Check Balance,2023-04-03 14:36:25,18730,2523.27,Credit
CASE-8867,View Statement,2023-04-28 13:55:54,95596,4342.21,Savings
CASE-8349,Apply Loan,2023-01-12 00:08:59,54078,1930.88,Checking
CASE-7600,Pay Bill,2023-01-02 17:21:59,82483,1487.45,Savings
CASE-5787,Check Balance,2023-07-03 05:31:21,91580,1573.88,Checking
CASE-6015,Login,2023-12-19 19:58:19,46633,4289.77,Savings
CASE-6984,Pay Bill,2023-08-08 00:54:32,59440,2377.88,Checking
CASE-8846,Check Balance,2023-12-17 09:22:38,23394,751.43,Credit
CASE-8866,Logout,2023-08-28 12:39:13,43987,1904.62,Savings
CASE-3063,Logout,2023-02-09 22:21:28,56254,1374.34,Savings
CASE-7556,View Statement,2023-03-17 22:39:53,55576,1542.48,Credit
CASE-6255,Login,2023-05-26 13:58:02,83536,525.35,Savings
CASE-3446,Transfer Funds,2023-11-29 06:01:22,97208,3844.14,Savings
CASE-5888,Pay Bill,2023-04-30 12:38:32,34718,2048.73,Checking
CASE-7812,Transfer Funds,2023-03-09 11:43:13,95777,281.31,Savings
CASE-6543,View Statement,2023-06-25 22:06:03,47767,3554.86,Credit
CASE-2463,Check Balance,2023-05-20 01:30:53,82371,3924.64,Checking
CASE-4450,Pay Bill,2023-07-19 23:21:12,62102,144.26,Credit
CASE-9140,Logout,2023-11-02 10:35:34,57276,2716.45,Checking
CASE-3717,Check Balance,2023-05-22 02:55:10,78471,3479.54,Credit
CASE-8818,Login,2023-10-21 16:36:38,43359,736.34,Checking
CASE-2988,Login,2023-01-26 21:24:03,28731,2154.43,Credit
CASE-7924,Transfer Funds,2023-07-11 19:08:33,83643,1082.07,Savings
CASE-5467,Check Balance,2023-09-03 10:42:42,34526,93.17,Credit
CASE-6972,Login,2023-02-14 11:10:52,88469,2704.37,Savings
CASE-7880,Transfer Funds,2023-02-16 03:17:46,50323,1566.37,Savings
CASE-4174,Apply Loan,2023-04-01 07:25:02,54634,2906.82,Checking
CASE-5693,Apply Loan,2023-08-10 01:43:51,20317,324.74,Credit
CASE-2958,View Statement,2023-12-21 23:11:14,99310,2625.36,Checking
CASE-9131,Login,2023-01-20 06:35:24,81839,3831.51,Savings
CASE-3001,Login,2023-11-30 15:42:46,61473,3942.41,Credit
CASE-8742,Transfer Funds,2023-04-05 02:27:46,63096,2656.5,Checking
CASE-9144,Pay Bill,2023-09-10 04:09:41,46950,4514.51,Savings
CASE-3222,Pay Bill,2023-06-25 00:56:55,83310,3156.59,Savings
CASE-5603,Logout,2023-08-05 11:20:45,30069,3771.43,Credit
CASE-7148,Login,2023-08-01 15:38:52,74012,843.9,Checking
CASE-6515,Apply Loan,2023-04-30 18:09:09,87675,3010.34,Savings
CASE-4852,Transfer Funds,2023-06-05 20:34:35,74361,666.83,Checking
CASE-3339,View Statement,2023-10-13 15:34:14,78663,247.31,Checking
CASE-8908,Check Balance,2023-12-25 12:21:33,14666,2409.95,Savings
CASE-1844,Logout,2023-10-03 00:18:54,88303,3255.71,Credit
CASE-1427,Login,2023-09-24 11:58:31,15254,1429.35,Savings
CASE-9062,Pay Bill,2023-06-22 08:46:07,77356,1349.05,Savings
CASE-3738,Pay Bill,2023-09-11 17:26:16,52553,4039.34,Credit
CASE-9089,View Statement,2023-12-02 20:08:32,63961,3765.21,Savings
CASE-5385,Apply Loan,2023-02-12 09:40:06,54655,3626.24,Credit
CASE-1296,Logout,2023-01-29 05:48:17,47958,1235.59,Savings
CASE-7634,Logout,2023-09-05 06:10:55,60879,1283.45,Savings
CASE-9922,View Statement,2023-07-25 18:17:12,46553,4267.36,Savings
CASE-2619,Logout,2023-05-07 21:28:35,80675,4265.31,Savings
CASE-3401,Check Balance,2023-09-15 12:39:49,61311,1919.62,Savings
CASE-7491,View Statement,2023-10-01 19:47:29,45096,4617.91,Checking
CASE-4620,Transfer Funds,2023-06-18 23:18:39,47626,4723.49,Credit
CASE-6035,Login,2023-05-09 09:08:57,38004,3710.82,Savings
CASE-6798,Apply Loan,2023-01-18 17:23:00,85925,4266.57,Checking
CASE-7381,Logout,2023-06-21 07:40:43,38042,3578.38,Checking
CASE-7394,View Statement,2023-02-28 09:34:40,78609,3827.82,Savings
CASE-9059,Pay Bill,2023-11-17 01:14:44,72451,3147.86,Savings
CASE-9680,Check Balance,2023-01-28 17:31:33,21028,1808.87,Checking
CASE-7618,Logout,2023-01-31 22:59:23,32812,1456.09,Checking
CASE-6269,Transfer Funds,2023-07-21 20:43:18,84355,2663.08,Checking
CASE-1516,Pay Bill,2023-09-04 16:11:34,82448,2308.29,Checking
CASE-2127,Transfer Funds,2023-05-30 01:54:43,40724,268.63,Credit
CASE-8619,Transfer Funds,2023-12-11 04:58:48,73490,3928.41,Credit
CASE-1777,Transfer Funds,2023-04-16 23:29:04,89635,4526.3,Credit
CASE-5717,View Statement,2023-02-14 04:39:59,57846,4196.48,Checking
CASE-7735,Logout,2023-06-12 13:58:29,86375,3996.86,Credit
CASE-3726,Apply Loan,2023-12-11 17:22:54,14995,3841.97,Checking
CASE-7929,Check Balance,2023-12-24 03:11:36,81392,1029.12,Checking
CASE-1911,Transfer Funds,2023-09-06 03:32:10,78325,3591.21,Checking
CASE-9361,Login,2023-09-08 15:02:15,58206,2902.91,Credit
CASE-2698,Transfer Funds,2023-11-17 08:05:48,77578,3274.93,Savings
CASE-5165,Logout,2023-12-06 13:17:44,16684,4669.52,Savings
CASE-7418,Check Balance,2023-04-10 18:39:41,33618,45.06,Savings
CASE-3211,Login,2023-10-30 23:17:26,98380,798.56,Savings
CASE-8105,Logout,2023-01-15 21:00:56,90303,3327.73,Credit
CASE-6333,Login,2023-04-11 11:54:57,77995,744.01,Credit
CASE-4268,Logout,2023-03-26 22:26:21,46056,1822.56,Savings
CASE-2536,Apply Loan,2023-05-21 06:31:28,82465,4385.85,Credit
CASE-7960,Logout,2023-03-06 01:26:37,86128,1975.89,Checking
CASE-3476,Login,2023-09-19 05:18:49,45115,2103.85,Credit
CASE-5185,Logout,2023-11-23 17:40:53,48450,242.13,Savings
CASE-2283,Check Balance,2023-05-05 13:45:02,32894,2451.29,Savings
