Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-1508,Apply Loan,2023-03-26 04:20:25,92414,1141.19,Credit
CASE-3941,Transfer Funds,2023-11-29 00:21:35,85229,4892.71,Checking
CASE-2431,Pay Bill,2023-07-31 16:56:04,51096,2301.06,Checking
CASE-8358,Pay Bill,2023-10-24 06:52:46,58070,42.66,Savings
CASE-6838,Transfer Funds,2023-03-11 02:13:36,91118,4769.66,Credit
CASE-5656,Transfer Funds,2023-02-04 23:22:25,52003,392.65,Credit
CASE-1360,View Statement,2023-08-30 15:32:20,43964,3884.8,Credit
CASE-6737,Logout,2023-12-19 21:41:00,45355,1284.5,Savings
CASE-3940,Transfer Funds,2023-01-19 09:11:43,48123,2201.0,Checking
CASE-9992,Apply Loan,2023-10-12 19:28:39,12075,4263.8,Credit
CASE-7054,Login,2023-10-29 13:51:00,24677,2053.32,Checking
CASE-5788,Pay Bill,2023-10-21 14:18:36,10629,4044.16,Savings
CASE-7099,Transfer Funds,2023-07-25 14:59:02,98619,564.15,Savings
CASE-9555,Logout,2023-09-18 10:05:18,26554,3849.67,Checking
CASE-9997,View Statement,2023-05-06 06:02:48,15368,1661.28,Credit
CASE-3782,Check Balance,2023-02-23 16:37:05,55825,3521.2,Savings
CASE-7717,Transfer Funds,2023-10-06 09:04:11,95540,1122.73,Credit
CASE-6948,View Statement,2023-03-21 11:05:00,61797,1562.64,Savings
CASE-6161,Pay Bill,2023-02-22 03:16:49,21433,1646.53,Savings
CASE-5741,View Statement,2023-07-07 07:25:53,93676,3879.05,Checking
CASE-2622,Check Balance,2023-08-08 01:13:15,32797,3778.89,Checking
CASE-1919,Check Balance,2023-03-19 22:21:09,20807,1186.76,Savings
CASE-3544,View Statement,2023-08-14 23:17:11,92822,4042.41,Checking
CASE-1261,Pay Bill,2023-10-17 23:21:13,67168,2432.29,Savings
CASE-9076,Logout,2023-02-23 14:17:45,97181,3007.82,Checking
CASE-6839,Login,2023-12-22 08:29:11,13080,4277.83,Savings
CASE-7326,Pay Bill,2023-07-06 20:08:45,92905,3552.83,Checking
CASE-1283,View Statement,2023-09-08 22:13:16,64468,1173.8,Credit
CASE-3959,Pay Bill,2023-02-02 09:02:10,41019,3338.34,Savings
CASE-7196,Pay Bill,2023-05-06 02:05:33,88475,850.5,Checking
CASE-4510,View Statement,2023-02-11 11:55:33,83333,1402.02,Savings
CASE-9757,Check Balance,2023-03-16 18:18:44,69132,1098.58,Credit
CASE-3614,Pay Bill,2023-10-30 15:34:53,40779,4990.84,Checking
CASE-1205,Check Balance,2023-02-23 08:15:18,79075,2558.37,Savings
CASE-6315,View Statement,2023-04-05 02:49:42,99630,3035.19,Savings
CASE-1828,Apply Loan,2023-08-28 08:00:21,73006,211.56,Checking
CASE-4379,Transfer Funds,2023-01-05 01:36:47,28863,3241.31,Credit
CASE-3686,Pay Bill,2023-07-28 13:29:07,16814,1257.15,Savings
CASE-4089,Transfer Funds,2023-10-21 01:46:56,23525,3179.72,Checking
CASE-2919,Login,2023-03-03 14:52:54,68456,1979.88,Credit
CASE-8849,Apply Loan,2023-09-25 11:26:05,43997,3953.69,Savings
CASE-7884,Transfer Funds,2023-03-09 22:01:03,49779,1020.94,Checking
CASE-6186,Apply Loan,2023-02-07 12:16:48,11269,3872.54,Credit
CASE-1548,Check Balance,2023-03-06 06:48:57,53128,4064.44,Savings
CASE-8195,Transfer Funds,2023-09-07 18:14:50,76759,66.35,Savings
CASE-7083,Check Balance,2023-12-01 00:00:19,51000,2994.61,Savings
CASE-9598,Transfer Funds,2023-10-19 21:44:21,34562,3945.94,Savings
CASE-7827,View Statement,2023-07-01 15:39:28,97563,3646.23,Credit
CASE-7238,Login,2023-06-30 05:05:33,79193,2240.82,Savings
CASE-9960,Apply Loan,2023-02-11 02:14:50,27669,646.82,Checking
CASE-6139,Logout,2023-07-30 22:16:44,33875,3935.63,Checking
CASE-6006,Logout,2023-01-23 23:27:31,76196,1447.01,Checking
CASE-2920,Login,2023-11-27 17:10:34,63794,1861.04,Credit
CASE-6831,View Statement,2023-10-21 01:06:47,65410,380.78,Credit
CASE-2325,Logout,2023-01-18 10:03:24,54898,2281.45,Credit
CASE-8293,Apply Loan,2023-06-15 09:35:47,59308,2057.21,Credit
CASE-6165,Login,2023-02-17 08:11:26,17588,1991.53,Savings
CASE-5872,Login,2023-07-09 04:40:16,41403,1425.31,Checking
CASE-1068,Apply Loan,2023-05-21 15:07:55,74073,1542.21,Savings
CASE-3779,Check Balance,2023-01-02 11:27:12,94845,4257.59,Savings
CASE-8138,Check Balance,2023-06-26 23:13:06,57660,152.53,Credit
CASE-8545,Pay Bill,2023-11-11 06:00:27,73461,1727.56,Credit
