Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-9122,Apply Loan,2023-07-28 03:52:53,46686,796.58,Checking
CASE-6263,Apply Loan,2023-10-11 01:27:42,76208,4276.64,Credit
CASE-6712,Pay Bill,2023-08-13 07:43:51,73184,4492.81,Checking
CASE-3898,View Statement,2023-12-29 06:10:12,88111,336.23,Savings
CASE-3650,Pay Bill,2023-08-29 02:30:25,77312,3859.75,Savings
CASE-4914,Transfer Funds,2023-09-21 06:47:27,27196,2987.47,Credit
CASE-5857,Logout,2023-12-02 06:49:30,96959,82.92,Savings
CASE-8487,Apply Loan,2023-08-17 08:49:23,28150,2203.88,Credit
CASE-4169,View Statement,2023-02-19 13:51:40,20316,4336.94,Checking
CASE-8372,Apply Loan,2023-05-13 23:08:20,12491,1800.88,Credit
CASE-1452,Check Balance,2023-02-09 06:37:46,14351,2450.51,Checking
CASE-6614,Login,2023-09-07 10:39:16,65788,2789.87,Checking
CASE-1682,Logout,2023-11-09 21:02:28,89740,447.68,Credit
CASE-2928,Apply Loan,2023-03-27 06:26:00,81462,3200.5,Savings
CASE-8442,Logout,2023-09-14 01:38:26,52824,4425.63,Savings
CASE-6469,Apply Loan,2023-09-04 21:20:44,71519,2601.92,Savings
CASE-1811,Pay Bill,2023-03-24 17:04:40,85108,267.27,Savings
CASE-4700,Pay Bill,2023-09-29 17:50:08,50092,2328.18,Savings
CASE-2457,Login,2023-03-17 16:47:58,28089,1547.03,Savings
CASE-1989,Check Balance,2023-12-15 10:01:39,27549,2793.28,Checking
CASE-8600,Check Balance,2023-08-04 00:19:08,77830,4579.76,Credit
CASE-7024,Login,2023-11-25 04:06:18,14014,4659.51,Savings
CASE-9404,Login,2023-09-17 11:05:42,96054,3482.05,Savings
CASE-5328,Pay Bill,2023-09-04 06:19:22,65779,1470.0,Checking
CASE-4431,View Statement,2023-05-16 07:05:40,15033,1064.58,Checking
CASE-1222,View Statement,2023-09-02 02:23:49,74060,4031.88,Credit
CASE-4231,Transfer Funds,2023-10-09 16:38:18,15489,2953.16,Credit
CASE-8912,Apply Loan,2023-11-02 15:22:53,73028,2079.38,Savings
CASE-3732,View Statement,2023-01-05 11:40:02,85940,191.21,Credit
CASE-8487,Logout,2023-04-16 04:57:38,24050,1067.41,Credit
CASE-3159,Check Balance,2023-03-30 08:11:35,92914,659.04,Savings
CASE-4186,Pay Bill,2023-04-17 17:36:02,58629,2276.41,Savings
CASE-2578,Logout,2023-10-02 22:37:19,47462,1257.75,Checking
CASE-4165,Login,2023-04-14 14:28:02,63297,3857.68,Savings
CASE-1682,View Statement,2023-02-23 11:35:14,84938,1257.69,Credit
CASE-6083,Login,2023-10-12 01:07:11,66099,3483.95,Savings
CASE-2905,Transfer Funds,2023-05-24 21:25:31,19801,4308.21,Checking
CASE-5917,Login,2023-11-02 19:23:11,62231,1611.39,Credit
CASE-9771,Login,2023-08-31 15:58:55,29491,1779.99,Savings
CASE-8815,Apply Loan,2023-06-16 23:12:44,25326,4446.32,Savings
CASE-5696,Check Balance,2023-10-15 05:53:17,76170,2462.06,Checking
CASE-7575,Login,2023-01-19 12:54:06,94661,3083.81,Checking
CASE-6724,Logout,2023-09-19 23:44:12,19074,1446.67,Checking
CASE-2033,Login,2023-04-24 07:18:00,11246,559.53,Credit
CASE-6962,Logout,2023-05-30 05:47:31,99252,4538.55,Checking
CASE-7696,Transfer Funds,2023-03-03 17:54:33,48579,1669.35,Savings
CASE-7600,Login,2023-01-14 09:33:07,93928,821.75,Savings
CASE-2111,Logout,2023-03-27 16:19:53,40407,4021.68,Credit
CASE-8844,Pay Bill,2023-09-05 19:20:29,47898,872.77,Credit
CASE-4392,Login,2023-11-11 08:38:47,56280,4108.01,Savings
CASE-9508,Check Balance,2023-11-14 12:17:26,41526,3907.18,Savings
CASE-5313,Check Balance,2023-09-20 02:32:02,99393,3381.91,Checking
CASE-5035,Pay Bill,2023-12-06 08:14:45,80970,3308.21,Savings
CASE-6125,Logout,2023-09-25 07:36:57,88101,2577.79,Credit
CASE-6201,Transfer Funds,2023-08-31 04:10:24,98746,2182.01,Savings
CASE-3792,Check Balance,2023-07-07 21:11:52,75668,1308.3,Checking
CASE-6151,View Statement,2023-09-26 22:16:27,23448,1294.34,Credit
CASE-7615,Logout,2023-10-17 20:42:48,71876,498.97,Savings
CASE-9963,Transfer Funds,2023-07-08 08:12:36,43774,303.9,Savings
CASE-2366,Pay Bill,2023-07-04 15:15:07,70757,1366.35,Checking
CASE-9859,Logout,2023-01-28 17:08:31,80539,4338.83,Credit
CASE-2668,View Statement,2023-05-16 02:03:54,92941,1212.98,Credit
CASE-8518,Check Balance,2023-03-18 11:47:43,40870,4953.07,Credit
CASE-3420,Transfer Funds,2023-02-02 11:40:24,82680,4273.66,Savings
CASE-5943,Transfer Funds,2023-03-31 21:33:19,47594,2471.92,Savings
CASE-6323,Logout,2023-08-15 17:21:07,80367,1471.09,Savings
CASE-1332,Pay Bill,2023-08-21 00:58:53,17543,110.67,Savings
CASE-1588,Check Balance,2023-07-06 02:43:04,81134,3964.38,Savings
