Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-6929,Transfer Funds,2023-08-30 06:52:57,29428,2510.63,Checking
CASE-8354,View Statement,2023-08-15 18:10:55,58792,1585.33,Savings
CASE-1816,Logout,2023-12-17 21:51:51,68639,1932.02,Checking
CASE-3113,Check Balance,2023-12-19 19:05:16,89003,1150.05,Savings
CASE-6074,View Statement,2023-11-16 07:19:25,46510,4315.43,Checking
CASE-5220,Check Balance,2023-08-17 10:38:14,77552,930.76,Savings
CASE-9993,View Statement,2023-05-02 09:40:52,45850,4350.86,Checking
CASE-3063,Check Balance,2023-01-22 19:22:12,74923,3943.76,Checking
CASE-2469,Check Balance,2023-06-23 12:15:20,22263,2585.88,Savings
CASE-7725,Transfer Funds,2023-11-23 01:00:11,41324,2238.88,Checking
CASE-9351,Transfer Funds,2023-09-21 19:12:46,78966,1886.61,Savings
CASE-2642,Check Balance,2023-05-01 01:19:57,94499,3739.66,Credit
CASE-5165,Login,2023-09-30 17:36:41,77418,4668.87,Credit
CASE-8968,Pay Bill,2023-02-28 05:26:50,59934,4904.88,Credit
CASE-9345,Pay Bill,2023-10-15 11:56:23,40895,808.9,Checking
CASE-5684,Logout,2023-03-09 14:16:59,23207,3101.79,Checking
CASE-4620,Pay Bill,2023-02-20 14:41:11,85337,4978.18,Credit
CASE-6880,Pay Bill,2023-05-28 05:51:28,86797,4543.64,Savings
CASE-1196,Logout,2023-08-11 17:59:28,98493,2531.51,Savings
CASE-8488,Logout,2023-03-04 18:24:36,55031,1717.73,Checking
CASE-9508,Transfer Funds,2023-10-20 09:36:46,27337,2678.83,Credit
CASE-5283,Logout,2023-07-20 10:29:15,54405,812.62,Checking
CASE-9053,Pay Bill,2023-10-22 17:51:59,16408,59.73,Credit
CASE-1855,Login,2023-12-27 04:44:09,42796,4488.49,Savings
CASE-5056,Transfer Funds,2023-07-05 10:41:45,58916,1480.03,Savings
CASE-8190,Pay Bill,2023-08-25 11:39:34,27289,4624.51,Savings
CASE-6211,View Statement,2023-09-07 02:33:02,42636,1440.25,Checking
CASE-4725,Pay Bill,2023-09-19 21:57:57,99569,1610.24,Checking
CASE-8432,Login,2023-11-26 03:40:29,12813,307.39,Checking
CASE-1879,View Statement,2023-06-11 03:46:47,14862,1535.0,Credit
CASE-6068,Login,2023-08-10 21:11:53,92893,1832.81,Savings
CASE-9594,Logout,2023-04-11 23:17:10,85378,1087.2,Savings
CASE-2183,View Statement,2023-04-07 14:59:13,85828,4352.25,Checking
CASE-6330,Pay Bill,2023-10-29 04:46:19,72571,996.23,Savings
CASE-9318,Logout,2023-09-25 08:57:11,85471,4979.71,Savings
CASE-1057,Apply Loan,2023-09-02 21:04:44,67000,3202.66,Savings
CASE-5171,Pay Bill,2023-03-21 00:17:56,96133,333.14,Credit
CASE-9929,Logout,2023-01-14 04:00:13,41428,1096.32,Savings
CASE-4541,Apply Loan,2023-05-20 17:51:24,96941,3976.58,Credit
CASE-7309,Logout,2023-11-23 02:29:07,59361,4068.22,Credit
CASE-1136,Apply Loan,2023-05-13 00:04:20,84422,3137.57,Savings
CASE-2971,Login,2023-01-04 18:01:27,27681,4788.6,Checking
CASE-5842,Transfer Funds,2023-11-02 08:43:13,35079,1421.76,Credit
CASE-1021,View Statement,2023-03-02 15:56:31,91242,1801.3,Checking
