Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-3032,Login,2023-05-19 20:09:50,60818,663.93,Savings
CASE-5772,View Statement,2023-05-03 13:12:30,69959,428.64,Checking
CASE-5657,Logout,2023-02-12 19:15:50,89959,3977.68,Checking
CASE-1409,View Statement,2023-01-02 23:54:14,18616,3122.88,Checking
CASE-3749,Logout,2023-06-19 17:35:41,45498,4879.58,Checking
CASE-1490,Apply Loan,2023-08-29 06:30:27,53851,3853.61,Checking
CASE-2259,Apply Loan,2023-06-24 00:38:19,16662,4534.71,Credit
CASE-7993,Pay Bill,2023-11-19 14:44:33,75217,4999.09,Credit
CASE-3440,Logout,2023-02-12 13:53:39,72932,26.26,Checking
CASE-3654,Check Balance,2023-07-15 12:29:59,35110,2683.06,Credit
CASE-3262,Logout,2023-08-02 23:57:27,86729,4838.87,Checking
CASE-3942,Login,2023-11-25 23:12:12,10422,1848.02,Checking
CASE-2466,Login,2023-02-17 01:01:43,48487,1097.23,Checking
CASE-8365,View Statement,2023-11-13 14:45:06,58663,4461.49,Savings
CASE-1832,View Statement,2023-06-23 17:23:58,25077,4771.34,Credit
CASE-9552,Transfer Funds,2023-12-13 00:48:54,42339,2868.77,Checking
CASE-2198,Login,2023-02-05 00:50:48,57287,523.56,Credit
CASE-4071,View Statement,2023-09-09 01:32:48,94724,342.14,Credit
CASE-4702,View Statement,2023-03-07 16:44:16,47311,3490.85,Savings
CASE-2972,Login,2023-09-27 14:11:25,56701,1834.74,Credit
CASE-8381,Check Balance,2023-12-16 16:15:33,82260,4806.16,Credit
CASE-2386,Transfer Funds,2023-07-06 13:54:28,43691,4821.6,Savings
CASE-7051,Logout,2023-02-24 11:57:00,39219,1180.64,Savings
CASE-7627,Pay Bill,2023-07-04 11:18:26,54583,4972.05,Checking
CASE-2409,View Statement,2023-09-04 06:04:23,26294,4824.44,Savings
CASE-9894,Apply Loan,2023-08-16 00:41:40,69675,3703.17,Checking
CASE-4346,View Statement,2023-09-02 20:16:44,33965,1524.35,Checking
CASE-5119,View Statement,2023-10-31 16:55:00,26601,1275.86,Savings
CASE-4242,Check Balance,2023-05-30 20:31:02,79912,3448.59,Savings
CASE-4688,Apply Loan,2023-08-07 14:24:33,93864,375.4,Credit
CASE-6014,Login,2023-10-04 11:07:33,19368,3321.36,Credit
CASE-2603,View Statement,2023-01-21 11:46:34,68790,4034.11,Checking
CASE-9526,Transfer Funds,2023-03-11 22:07:56,52831,1645.07,Savings
CASE-6114,Apply Loan,2023-05-09 10:34:03,22392,4997.72,Checking
CASE-1496,Transfer Funds,2023-01-05 08:05:31,25301,1837.37,Savings
CASE-8166,View Statement,2023-04-12 04:11:11,92564,2651.9,Credit
CASE-7656,Check Balance,2023-11-04 12:21:18,84378,1061.82,Checking
CASE-7196,Pay Bill,2023-11-24 15:22:14,90373,2264.17,Credit
CASE-1544,Logout,2023-08-09 07:23:25,90380,3093.95,Savings
CASE-7456,Pay Bill,2023-08-22 20:35:43,95272,4559.39,Checking
CASE-3126,Check Balance,2023-11-25 22:52:57,26936,652.77,Savings
CASE-4572,Logout,2023-08-28 07:53:48,79152,692.76,Credit
CASE-8947,Transfer Funds,2023-04-22 15:17:34,19204,944.45,Credit
CASE-6082,View Statement,2023-05-24 14:42:42,32999,3208.6,Savings
CASE-9067,Transfer Funds,2023-05-07 10:27:57,20856,4584.59,Credit
CASE-3531,Logout,2023-08-16 01:45:41,99073,1531.56,Savings
CASE-6830,Check Balance,2023-03-23 23:43:40,98122,3280.62,Savings
CASE-2213,View Statement,2023-09-11 10:01:01,77750,3633.0,Savings
CASE-1373,Check Balance,2023-01-24 19:16:54,86758,2703.05,Credit
CASE-4741,Login,2023-02-27 12:22:03,36930,92.34,Credit
CASE-6866,Apply Loan,2023-09-17 04:41:33,63049,3002.87,Savings
CASE-9756,Logout,2023-06-28 11:59:54,27751,4297.07,Savings
CASE-2851,Check Balance,2023-03-02 08:25:35,83046,2117.49,Checking
CASE-4938,Pay Bill,2023-10-18 23:28:38,36090,3725.56,Credit
