Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-3342,View Statement,2023-08-19 13:52:39,98620,1448.66,Credit
CASE-8251,View Statement,2023-10-01 05:26:09,92715,1028.0,Savings
CASE-3667,Logout,2023-07-07 20:57:26,48364,3696.98,Savings
CASE-1243,Logout,2023-08-03 11:18:55,12161,729.53,Checking
CASE-4122,Pay Bill,2023-01-17 19:25:25,78003,2510.04,Checking
CASE-6437,View Statement,2023-09-17 22:50:42,50510,1907.73,Credit
CASE-2053,View Statement,2023-10-22 18:14:18,77983,2781.2,Checking
CASE-8068,Login,2023-06-17 10:26:46,86603,2592.95,Credit
CASE-3204,View Statement,2023-11-27 19:20:44,77523,389.99,Savings
CASE-2847,Check Balance,2023-01-31 04:37:35,43609,60.2,Savings
CASE-9848,Check Balance,2023-05-23 21:37:29,81667,2660.09,Savings
CASE-7459,Login,2023-08-31 02:59:16,62975,236.36,Savings
CASE-1079,Logout,2023-06-15 19:23:04,50742,3584.89,Checking
CASE-6158,View Statement,2023-01-01 09:26:39,14419,2649.1,Credit
CASE-9520,Apply Loan,2023-08-20 01:59:37,91203,2885.01,Checking
CASE-2327,Transfer Funds,2023-07-30 21:21:22,60281,2141.38,Credit
CASE-1405,Apply Loan,2023-09-03 15:23:35,55892,1070.97,Credit
CASE-1543,View Statement,2023-07-30 19:05:38,16494,2126.72,Savings
CASE-9397,View Statement,2023-11-21 04:55:42,23014,116.16,Checking
CASE-9680,Check Balance,2023-07-26 11:55:54,14681,4441.9,Credit
CASE-8906,Logout,2023-02-12 05:41:42,89359,3508.8,Credit
CASE-3499,Transfer Funds,2023-03-28 20:03:37,34368,4470.34,Credit
CASE-4896,Transfer Funds,2023-07-19 09:07:33,61889,320.77,Credit
CASE-9259,Login,2023-11-23 02:28:56,28200,3226.94,Savings
CASE-4532,Login,2023-04-30 22:17:42,75688,1445.11,Credit
CASE-3012,View Statement,2023-08-17 01:47:46,75284,3051.6,Savings
CASE-1846,Login,2023-02-25 00:27:10,57916,3096.5,Credit
CASE-6631,Pay Bill,2023-01-26 15:27:09,84734,3649.85,Savings
CASE-1547,Apply Loan,2023-04-03 12:59:16,16589,4742.2,Checking
CASE-8694,View Statement,2023-03-26 05:30:08,59387,4026.34,Credit
CASE-2873,View Statement,2023-01-31 11:08:11,33424,4981.71,Checking
CASE-9140,View Statement,2023-08-26 00:00:58,90797,3298.54,Checking
CASE-7190,Check Balance,2023-12-03 08:26:08,60927,669.62,Savings
CASE-6260,Apply Loan,2023-12-01 09:08:09,76840,1060.86,Savings
CASE-1008,Pay Bill,2023-04-22 18:55:19,46882,4210.26,Checking
CASE-6590,Check Balance,2023-11-05 14:19:12,80561,2311.48,Checking
CASE-9447,Check Balance,2023-11-06 16:38:43,23351,769.09,Credit
CASE-6446,Apply Loan,2023-03-16 11:13:39,37670,3279.91,Credit
CASE-1049,Transfer Funds,2023-11-23 17:27:26,29036,3619.53,Checking
CASE-4382,Transfer Funds,2023-01-08 06:14:11,55855,2465.21,Checking
CASE-8626,Apply Loan,2023-12-20 13:01:44,22707,247.75,Savings
CASE-2770,Transfer Funds,2023-01-01 11:51:51,19367,16.86,Savings
CASE-4188,Check Balance,2023-12-18 03:26:33,89736,4455.77,Checking
CASE-5646,Login,2023-04-30 03:07:05,82361,4913.37,Savings
CASE-7406,Login,2023-12-06 01:26:27,49065,704.26,Savings
CASE-2902,Transfer Funds,2023-05-04 07:55:19,52736,3023.19,Checking
CASE-4391,Pay Bill,2023-09-15 20:21:35,84353,790.28,Savings
CASE-6985,Logout,2023-01-31 06:15:00,54464,1735.73,Checking
CASE-7260,Transfer Funds,2023-01-05 08:45:35,15099,1287.21,Checking
CASE-3263,Check Balance,2023-12-28 05:54:44,49592,3054.83,Credit
CASE-1621,View Statement,2023-11-09 13:58:11,39535,4232.11,Savings
CASE-2985,View Statement,2023-06-14 02:18:23,37563,4592.6,Savings
CASE-3603,Transfer Funds,2023-03-24 09:43:49,15700,2760.09,Savings
CASE-8798,Transfer Funds,2023-02-04 03:27:40,34256,2379.41,Checking
CASE-7966,Logout,2023-11-17 09:23:04,98425,3119.87,Savings
CASE-5628,Pay Bill,2023-02-27 06:47:14,36261,550.7,Checking
CASE-6724,Check Balance,2023-06-01 02:06:07,88445,2688.72,Credit
CASE-3313,View Statement,2023-07-31 19:38:45,28486,3575.65,Savings
