Case_ID,Activity,Timestamp,Portfolio_ID,Stock_Symbol,Quantity,Price
CASE-5889,Tax Calculation,2023-02-15 12:40:20,21733,GOOGL,N/A,4506.63
CASE-8802,Portfolio Review,2023-03-18 17:04:41,91848,AAPL,N/A,3893.95
CASE-9676,Portfolio Review,2023-08-31 10:35:14,72637,AMZN,N/A,4887.2
CASE-5654,Portfolio Review,2023-12-07 21:56:33,72608,TSLA,N/A,1727.48
CASE-2443,Sell Stock,2023-12-01 19:20:18,68424,MSFT,N/A,4996.45
CASE-3359,Consultation,2023-06-27 20:58:28,43629,MSFT,N/A,788.28
CASE-6320,Consultation,2023-07-19 00:11:53,40485,GOOGL,N/A,4365.98
CASE-6302,Sell Stock,2023-01-02 17:05:18,10977,AMZN,N/A,3607.79
CASE-8185,Tax Calculation,2023-02-04 08:26:26,65099,GOOGL,N/A,2983.03
CASE-5749,Portfolio Review,2023-06-24 19:12:48,99203,AMZN,N/A,4603.49
CASE-8008,Dividend Received,2023-09-23 22:28:22,98709,AMZN,N/A,2031.59
CASE-5197,Consultation,2023-05-27 14:48:52,53764,AAPL,N/A,361.36
CASE-1864,Dividend Received,2023-05-10 12:13:35,42792,GOOGL,N/A,4938.43
CASE-9683,Buy Stock,2023-03-05 09:59:58,90250,AAPL,N/A,1198.6
CASE-9769,Sell Stock,2023-01-13 21:21:20,46468,GOOGL,N/A,3357.65
CASE-8906,Portfolio Review,2023-11-14 16:03:43,69565,AMZN,N/A,4008.39
CASE-8503,Portfolio Review,2023-01-01 07:43:40,46074,AAPL,N/A,366.63
CASE-9727,Buy Stock,2023-08-28 10:28:10,89726,TSLA,N/A,1469.46
CASE-3289,Portfolio Review,2023-01-30 23:09:44,19743,GOOGL,N/A,1185.89
CASE-3671,Tax Calculation,2023-02-20 19:57:01,99720,AMZN,N/A,480.32
CASE-7677,Portfolio Review,2023-04-30 14:02:58,88032,GOOGL,N/A,3393.73
CASE-2072,Buy Stock,2023-03-29 19:00:11,30751,TSLA,N/A,3157.36
CASE-4363,Tax Calculation,2023-12-26 16:53:14,78428,MSFT,N/A,2914.81
CASE-3078,Buy Stock,2023-03-19 01:16:51,47517,AAPL,N/A,2265.02
CASE-2498,Tax Calculation,2023-12-05 14:31:27,93403,GOOGL,N/A,1736.55
CASE-8057,Dividend Received,2023-06-18 06:40:07,47633,TSLA,N/A,4133.66
CASE-4532,Portfolio Review,2023-08-16 13:45:52,18395,AMZN,N/A,4249.68
CASE-2032,Portfolio Review,2023-03-20 04:47:56,25148,MSFT,N/A,1375.89
CASE-6208,Consultation,2023-01-04 02:17:35,97084,GOOGL,N/A,4858.2
CASE-2034,Tax Calculation,2023-11-02 15:24:07,70779,TSLA,N/A,17.55
CASE-8035,Buy Stock,2023-12-04 14:10:11,62753,AMZN,N/A,2799.34
CASE-3564,Buy Stock,2023-02-25 12:49:37,81547,TSLA,N/A,3361.64
CASE-9706,Dividend Received,2023-08-18 00:56:09,50592,AMZN,N/A,3794.24
CASE-4380,Portfolio Review,2023-10-19 01:31:28,86264,AAPL,N/A,192.56
CASE-1083,Consultation,2023-07-09 15:58:33,36591,MSFT,N/A,1697.28
CASE-1163,Sell Stock,2023-07-15 19:43:06,19769,TSLA,N/A,1956.47
CASE-6063,Portfolio Review,2023-11-03 11:41:44,79297,MSFT,N/A,1033.91
CASE-8203,Sell Stock,2023-01-11 05:58:23,99081,AMZN,N/A,3298.92
CASE-4327,Buy Stock,2023-10-27 13:49:27,89587,AAPL,N/A,3747.23
CASE-5129,Dividend Received,2023-05-02 15:52:23,11578,GOOGL,N/A,533.17
CASE-7148,Tax Calculation,2023-10-20 12:27:26,24497,AMZN,N/A,4860.8
CASE-6053,Dividend Received,2023-06-10 09:26:38,55719,MSFT,N/A,3887.52
CASE-5348,Portfolio Review,2023-12-25 23:26:43,33748,MSFT,N/A,296.22
CASE-9544,Consultation,2023-02-03 11:38:50,80182,AAPL,N/A,4997.96
CASE-6501,Buy Stock,2023-01-17 07:55:03,79652,GOOGL,N/A,471.0
CASE-2496,Sell Stock,2023-05-09 03:29:19,62522,MSFT,N/A,3837.99
CASE-9652,Tax Calculation,2023-05-19 04:35:39,33047,TSLA,N/A,756.94
CASE-5687,Tax Calculation,2023-09-22 23:36:23,42001,MSFT,N/A,1009.46
CASE-8159,Sell Stock,2023-07-02 19:31:10,64225,GOOGL,N/A,1310.94
CASE-1086,Sell Stock,2023-11-28 12:04:37,48790,MSFT,N/A,261.07
CASE-4868,Dividend Received,2023-01-04 14:41:13,77665,AMZN,N/A,1402.36
CASE-5073,Dividend Received,2023-10-22 12:10:28,30767,GOOGL,N/A,3014.91
CASE-5018,Buy Stock,2023-11-10 02:24:19,75390,GOOGL,N/A,2823.16
CASE-7504,Tax Calculation,2023-01-11 00:31:50,68497,AAPL,N/A,2634.54
CASE-9128,Dividend Received,2023-11-28 23:19:24,57414,MSFT,N/A,2797.63
CASE-7838,Sell Stock,2023-11-18 07:30:09,11108,AMZN,N/A,1822.47
CASE-7276,Portfolio Review,2023-05-04 11:01:20,12166,AMZN,N/A,1539.92
CASE-9975,Sell Stock,2023-04-09 13:06:45,16977,MSFT,N/A,3616.18
CASE-7334,Sell Stock,2023-01-18 15:40:04,76207,GOOGL,N/A,1950.39
CASE-5250,Tax Calculation,2023-06-15 19:05:11,19185,AMZN,N/A,2877.77
CASE-4199,Portfolio Review,2023-07-07 10:59:52,82781,TSLA,N/A,1888.24
CASE-7370,Consultation,2023-07-20 12:46:36,58533,MSFT,N/A,3591.67
CASE-2496,Dividend Received,2023-09-21 21:35:17,31661,AMZN,N/A,2912.86
CASE-9891,Portfolio Review,2023-03-18 00:00:55,34338,AAPL,N/A,1910.14
CASE-1995,Dividend Received,2023-08-21 14:53:35,83459,GOOGL,N/A,2097.75
CASE-9245,Dividend Received,2023-12-19 01:06:09,53474,AMZN,N/A,4624.24
CASE-4276,Sell Stock,2023-07-02 03:12:46,35545,GOOGL,N/A,389.0
CASE-5902,Buy Stock,2023-09-24 23:02:33,16626,TSLA,N/A,4991.97
CASE-9915,Dividend Received,2023-10-20 20:32:15,14643,AMZN,N/A,4208.37
