Case_ID,Activity,Timestamp,Portfolio_ID,Stock_Symbol,Quantity,Price
CASE-7129,Sell Stock,2023-05-12 11:54:13,27691,TSLA,N/A,2310.41
CASE-9492,Portfolio Review,2023-05-19 01:24:43,71012,GOOGL,N/A,764.55
CASE-6736,Portfolio Review,2023-12-30 09:48:30,46429,TSLA,N/A,792.88
CASE-3190,Tax Calculation,2023-01-08 11:44:26,60858,TSLA,N/A,2332.85
CASE-9924,Tax Calculation,2023-01-10 14:47:44,70030,MSFT,N/A,1893.26
CASE-2487,Dividend Received,2023-12-21 23:48:26,24106,AMZN,N/A,531.45
CASE-9223,Dividend Received,2023-10-03 14:45:39,81905,GOOGL,N/A,847.99
CASE-4294,Sell Stock,2023-01-03 13:53:44,71840,AMZN,N/A,4867.91
CASE-6352,Portfolio Review,2023-09-26 08:19:06,24298,TSLA,N/A,2368.69
CASE-7347,Dividend Received,2023-06-22 13:38:30,18407,GOOGL,N/A,2388.19
CASE-8925,Tax Calculation,2023-10-06 13:19:18,44200,AMZN,N/A,3314.9
CASE-6791,Dividend Received,2023-03-05 20:34:39,67246,TSLA,N/A,3940.66
CASE-1769,Consultation,2023-10-18 03:29:10,19321,TSLA,N/A,1698.43
CASE-5445,Portfolio Review,2023-02-21 15:58:10,94812,AMZN,N/A,897.87
CASE-7918,Sell Stock,2023-08-01 05:19:15,33100,MSFT,N/A,1315.18
CASE-8422,Sell Stock,2023-01-09 16:25:06,86899,TSLA,N/A,2188.44
CASE-4275,Consultation,2023-03-08 02:21:12,79243,AMZN,N/A,982.78
CASE-7841,Buy Stock,2023-11-30 07:11:58,35945,AMZN,N/A,116.75
CASE-7707,Buy Stock,2023-10-20 16:26:11,72420,TSLA,N/A,2782.17
CASE-5829,Buy Stock,2023-11-24 13:15:02,88375,TSLA,N/A,4815.12
CASE-3153,Portfolio Review,2023-12-14 19:30:45,24360,AAPL,N/A,3736.08
CASE-9970,Sell Stock,2023-01-17 00:21:43,27845,AAPL,N/A,3823.36
CASE-9229,Portfolio Review,2023-08-16 19:50:43,73590,GOOGL,N/A,1470.17
CASE-2276,Sell Stock,2023-08-25 18:51:40,86686,AMZN,N/A,780.39
CASE-9407,Portfolio Review,2023-05-19 23:38:31,29122,AMZN,N/A,3621.09
CASE-9939,Consultation,2023-07-31 05:52:56,30336,AMZN,N/A,2284.36
CASE-2418,Sell Stock,2023-01-30 18:50:44,10977,GOOGL,N/A,878.49
CASE-8724,Dividend Received,2023-09-19 02:43:31,39196,MSFT,N/A,1901.0
CASE-1767,Tax Calculation,2023-02-03 22:56:11,65352,AAPL,N/A,983.81
CASE-4492,Consultation,2023-09-20 05:15:12,96720,AMZN,N/A,4832.43
