Case_ID,Activity,Timestamp,Portfolio_ID,Stock_Symbol,Quantity,Price
CASE-8844,Dividend Received,2023-02-28 19:47:28,51725,TSLA,N/A,3441.71
CASE-7935,Consultation,2023-08-06 22:18:58,87083,GOOGL,N/A,919.58
CASE-5593,Portfolio Review,2023-11-13 18:09:07,48631,AAPL,N/A,1342.42
CASE-2340,Tax Calculation,2023-06-16 13:05:13,46916,AMZN,N/A,4852.87
CASE-7236,Sell Stock,2023-03-19 19:38:25,15752,TSLA,N/A,4051.14
CASE-6277,Dividend Received,2023-04-19 17:17:52,62328,MSFT,N/A,1578.06
CASE-6966,Buy Stock,2023-06-07 19:07:28,69993,AMZN,N/A,416.99
CASE-6622,Consultation,2023-05-06 13:29:06,85518,TSLA,N/A,3069.3
CASE-7218,Consultation,2023-08-29 07:02:52,32691,AAPL,N/A,4929.61
CASE-2745,Tax Calculation,2023-04-12 16:07:52,31589,AAPL,N/A,2119.05
CASE-8563,Portfolio Review,2023-06-23 08:37:47,18831,AMZN,N/A,4642.06
CASE-8552,Tax Calculation,2023-03-27 05:44:41,41428,TSLA,N/A,4359.63
CASE-9043,Dividend Received,2023-11-25 10:15:55,63998,MSFT,N/A,3842.78
CASE-9856,Tax Calculation,2023-06-16 01:25:45,37242,GOOGL,N/A,631.61
CASE-6714,Tax Calculation,2023-10-17 11:47:00,36880,GOOGL,N/A,73.21
CASE-7930,Sell Stock,2023-08-05 00:38:55,73965,GOOGL,N/A,2201.32
CASE-9214,Buy Stock,2023-10-17 03:00:29,57862,MSFT,N/A,3584.82
CASE-9606,Consultation,2023-05-29 09:04:18,24455,TSLA,N/A,3180.32
CASE-7017,Dividend Received,2023-11-27 10:53:26,51400,MSFT,N/A,3480.71
CASE-7665,Tax Calculation,2023-04-21 11:27:15,42503,AMZN,N/A,35.09
CASE-8469,Tax Calculation,2023-10-01 22:38:28,30579,TSLA,N/A,4155.15
CASE-2851,Dividend Received,2023-10-03 07:16:52,11243,GOOGL,N/A,4591.7
CASE-4097,Sell Stock,2023-03-23 04:30:04,34250,TSLA,N/A,2384.26
CASE-6460,Consultation,2023-03-15 12:06:09,76478,MSFT,N/A,835.73
CASE-8849,Tax Calculation,2023-09-05 20:15:21,96687,GOOGL,N/A,2924.72
CASE-7551,Dividend Received,2023-08-01 02:53:31,50654,GOOGL,N/A,2119.01
CASE-3799,Tax Calculation,2023-08-09 17:08:32,81481,AAPL,N/A,1791.68
CASE-7104,Portfolio Review,2023-09-12 03:11:53,26500,AMZN,N/A,3385.86
CASE-3869,Consultation,2023-05-20 12:02:50,40536,TSLA,N/A,104.44
CASE-3906,Portfolio Review,2023-10-30 11:49:15,93787,GOOGL,N/A,2770.85
CASE-4472,Dividend Received,2023-04-30 11:25:55,45378,AAPL,N/A,670.01
CASE-8972,Consultation,2023-08-25 19:29:05,96028,AMZN,N/A,3719.64
CASE-1310,Buy Stock,2023-10-06 20:48:42,19235,TSLA,N/A,710.02
CASE-1448,Portfolio Review,2023-09-28 05:49:49,78158,AAPL,N/A,4845.47
CASE-6616,Buy Stock,2023-02-21 13:13:58,20178,AMZN,N/A,4901.18
CASE-6774,Tax Calculation,2023-08-08 11:54:52,71503,TSLA,N/A,3090.3
CASE-9488,Dividend Received,2023-02-01 15:51:39,26720,AAPL,N/A,3320.7
CASE-9987,Buy Stock,2023-05-29 15:23:59,57559,AMZN,N/A,2741.25
CASE-1257,Portfolio Review,2023-07-30 10:57:39,47888,GOOGL,N/A,2259.48
CASE-9191,Tax Calculation,2023-04-13 09:02:44,59595,TSLA,N/A,2764.89
CASE-5772,Sell Stock,2023-08-27 13:26:51,56425,AMZN,N/A,562.37
CASE-1361,Tax Calculation,2023-05-27 14:18:54,76235,AAPL,N/A,2808.11
CASE-5481,Portfolio Review,2023-03-01 11:30:26,87651,AMZN,N/A,4449.59
CASE-6340,Buy Stock,2023-01-09 10:15:52,42980,TSLA,N/A,4566.99
CASE-7379,Consultation,2023-04-06 22:03:40,90586,TSLA,N/A,3505.36
CASE-7839,Buy Stock,2023-08-14 01:53:41,11861,AAPL,N/A,3889.06
CASE-3425,Dividend Received,2023-08-11 18:43:02,46928,MSFT,N/A,2689.96
CASE-2751,Sell Stock,2023-08-17 02:50:27,54663,GOOGL,N/A,2971.47
CASE-3740,Dividend Received,2023-08-15 23:30:38,48378,MSFT,N/A,3440.47
CASE-7732,Portfolio Review,2023-11-22 21:49:55,75955,AAPL,N/A,3929.37
CASE-8101,Sell Stock,2023-01-23 17:32:49,39509,AMZN,N/A,3781.39
CASE-3262,Dividend Received,2023-12-16 11:49:08,28412,AMZN,N/A,1834.35
CASE-7607,Consultation,2023-07-03 09:45:09,61023,MSFT,N/A,2585.04
CASE-6778,Portfolio Review,2023-09-01 11:19:47,13286,MSFT,N/A,3530.36
CASE-9120,Sell Stock,2023-03-14 11:17:15,95014,GOOGL,N/A,1695.87
CASE-1559,Sell Stock,2023-08-12 01:54:10,16986,GOOGL,N/A,1533.48
CASE-3392,Sell Stock,2023-01-16 11:46:38,53932,MSFT,N/A,3371.32
CASE-1929,Sell Stock,2023-06-25 22:38:59,12442,AMZN,N/A,1621.83
CASE-7781,Tax Calculation,2023-01-16 04:41:34,65875,AAPL,N/A,1018.57
CASE-4150,Dividend Received,2023-04-19 03:11:46,12103,GOOGL,N/A,4360.73
CASE-1147,Buy Stock,2023-02-20 19:15:14,31509,GOOGL,N/A,3828.64
CASE-6702,Sell Stock,2023-06-20 16:59:38,22605,AAPL,N/A,3661.23
CASE-6839,Portfolio Review,2023-12-14 21:13:32,80824,AMZN,N/A,3616.57
CASE-5385,Dividend Received,2023-10-08 23:11:20,58178,GOOGL,N/A,3143.3
CASE-7160,Portfolio Review,2023-07-28 02:56:40,95618,MSFT,N/A,1129.0
CASE-3755,Consultation,2023-10-24 19:23:02,92817,GOOGL,N/A,593.12
CASE-8920,Consultation,2023-12-24 11:49:52,22526,AMZN,N/A,4196.47
