Case_ID,Activity,Timestamp,Portfolio_ID,Stock_Symbol,Quantity,Price
CASE-1380,Sell Stock,2023-04-24 07:40:02,55383,TSLA,N/A,4117.63
CASE-5248,Dividend Received,2023-11-17 00:09:12,97372,AAPL,N/A,708.25
CASE-8903,Portfolio Review,2023-05-25 01:54:39,44375,TSLA,N/A,2932.21
CASE-2701,Tax Calculation,2023-10-02 18:10:48,72724,TSLA,N/A,1241.69
CASE-4715,Dividend Received,2023-09-11 03:56:40,96503,TSLA,N/A,2534.42
CASE-8127,Sell Stock,2023-01-05 17:42:45,46924,AMZN,N/A,93.29
CASE-7953,Buy Stock,2023-05-26 08:21:02,82666,AMZN,N/A,4515.21
CASE-2759,Dividend Received,2023-01-06 10:21:38,69882,MSFT,N/A,4487.61
CASE-6388,Buy Stock,2023-05-14 21:06:54,34382,TSLA,N/A,1201.7
CASE-1394,Tax Calculation,2023-03-14 04:13:37,64580,AMZN,N/A,3004.27
CASE-3766,Portfolio Review,2023-05-08 14:51:38,61165,TSLA,N/A,482.29
CASE-9648,Sell Stock,2023-09-05 17:46:54,66135,AMZN,N/A,4753.38
CASE-3040,Buy Stock,2023-11-11 12:54:34,52533,AAPL,N/A,4834.75
CASE-3164,Dividend Received,2023-09-08 17:27:16,68153,AMZN,N/A,3500.54
CASE-5344,Sell Stock,2023-11-24 17:28:10,82843,GOOGL,N/A,1856.56
CASE-3645,Sell Stock,2023-05-19 17:17:23,18161,AMZN,N/A,190.27
CASE-9878,Dividend Received,2023-08-20 11:07:56,33056,AMZN,N/A,3291.84
CASE-1632,Tax Calculation,2023-03-24 19:37:31,86813,MSFT,N/A,3126.5
CASE-7837,Tax Calculation,2023-07-28 20:18:30,82411,AMZN,N/A,1722.82
CASE-7314,Buy Stock,2023-04-02 07:09:01,20004,MSFT,N/A,799.26
CASE-6929,Consultation,2023-11-04 05:20:06,68237,GOOGL,N/A,1116.13
CASE-1524,Tax Calculation,2023-05-23 14:06:19,67656,AAPL,N/A,4957.7
CASE-3858,Tax Calculation,2023-06-21 04:18:06,68575,TSLA,N/A,4420.98
CASE-5322,Dividend Received,2023-03-20 16:21:10,74358,AAPL,N/A,3998.45
CASE-4733,Tax Calculation,2023-11-11 08:22:53,79777,MSFT,N/A,4091.16
CASE-2297,Consultation,2023-09-09 02:55:37,29256,TSLA,N/A,1387.76
CASE-8990,Tax Calculation,2023-08-03 11:13:58,81628,MSFT,N/A,2211.88
CASE-6315,Buy Stock,2023-01-23 07:48:39,67050,MSFT,N/A,1820.3
CASE-8410,Sell Stock,2023-01-20 00:36:29,21017,MSFT,N/A,2481.66
CASE-6254,Portfolio Review,2023-04-12 16:16:36,37242,GOOGL,N/A,2865.34
CASE-5515,Tax Calculation,2023-08-22 00:33:07,84072,TSLA,N/A,4933.23
CASE-6054,Dividend Received,2023-12-11 22:57:25,70836,GOOGL,N/A,3946.63
CASE-2764,Portfolio Review,2023-10-29 03:47:33,14182,AAPL,N/A,4737.59
CASE-4184,Dividend Received,2023-04-27 06:42:36,26562,TSLA,N/A,77.79
CASE-9976,Consultation,2023-04-16 04:09:30,34392,TSLA,N/A,2730.8
CASE-9327,Sell Stock,2023-09-30 16:03:11,36223,GOOGL,N/A,1172.07
CASE-5760,Dividend Received,2023-06-05 02:23:49,43102,AAPL,N/A,4868.69
CASE-3579,Sell Stock,2023-07-16 08:29:26,44618,GOOGL,N/A,1735.69
CASE-4496,Consultation,2023-07-25 08:07:04,16343,MSFT,N/A,4014.3
CASE-7092,Tax Calculation,2023-04-30 06:15:46,60988,AMZN,N/A,2013.58
CASE-7240,Dividend Received,2023-10-13 09:34:11,17012,TSLA,N/A,4621.47
CASE-1557,Dividend Received,2023-02-03 14:53:19,98192,AMZN,N/A,4240.48
CASE-4343,Consultation,2023-03-08 07:06:17,10240,AMZN,N/A,104.63
CASE-7813,Portfolio Review,2023-03-29 02:39:16,27972,AMZN,N/A,55.44
CASE-8022,Portfolio Review,2023-05-16 09:47:16,89320,GOOGL,N/A,4852.09
CASE-4410,Consultation,2023-06-06 12:16:00,55739,MSFT,N/A,3954.12
CASE-1291,Dividend Received,2023-06-26 12:54:28,25809,TSLA,N/A,4342.01
CASE-6030,Consultation,2023-12-17 04:20:42,74140,TSLA,N/A,4272.23
CASE-9666,Dividend Received,2023-12-06 03:10:28,34172,AAPL,N/A,4963.67
CASE-6863,Buy Stock,2023-11-08 22:13:04,26936,GOOGL,N/A,4468.83
