loan_id,account_id,event_type,loan_status,event_timestamp
3001,1001,LOAN_APPLIED,PENDING,2026-02-15 07:14:37.098381
3002,1002,LOAN_APPROVED,APPROVED,2026-02-14 07:14:37.098381
3003,1003,EMI_DEBIT,RUNNING,2026-02-13 07:14:37.098381
3004,1004,EMI_DEBIT,RUNNING,2026-02-12 07:14:37.098381
3005,1005,LOAN_CLOSED,CLOSED,2026-02-11 07:14:37.098381
3006,1006,LOAN_APPLIED,PENDING,2026-02-10 07:14:37.098381
3007,1007,LOAN_REJECTED,REJECTED,2026-02-09 07:14:37.098381
3008,1008,EMI_DEBIT,RUNNING,2026-02-08 07:14:37.098381
3009,1009,LOAN_APPROVED,APPROVED,2026-02-07 07:14:37.098381
3010,1010,EMI_DEBIT,RUNNING,2026-02-06 07:14:37.098381
