account_id,customer_name,event_type,account_status,event_timestamp
1001,Cust1,ACCOUNT_OPEN,ACTIVE,2026-02-15 07:14:37.098381
1002,Cust2,KYC_UPDATE,ACTIVE,2026-02-15 06:14:37.098381
1003,Cust3,ACCOUNT_OPEN,ACTIVE,2026-02-15 05:14:37.098381
1004,Cust4,ACCOUNT_CLOSE,CLOSED,2026-02-15 04:14:37.098381
1005,Cust5,ACCOUNT_OPEN,ACTIVE,2026-02-15 03:14:37.098381
1006,Cust6,ACCOUNT_OPEN,ACTIVE,2026-02-15 02:14:37.098381
1007,Cust7,KYC_UPDATE,ACTIVE,2026-02-15 01:14:37.098381
1008,Cust8,ACCOUNT_OPEN,ACTIVE,2026-02-15 00:14:37.098381
1009,Cust9,ACCOUNT_FREEZE,FROZEN,2026-02-14 23:14:37.098381
1010,Cust10,ACCOUNT_OPEN,ACTIVE,2026-02-14 22:14:37.098381
